date,lb_m_1,lb_m_3,lb_m_6,lb_m_12,lb_m_orig_1,lb_m_orig_3,lb_m_orig_6,lb_m_orig_12,lb_cylr_1,lb_cylr_3,lb_cylr_6,lb_cylr_12,lb_cylr_orig_1,lb_cylr_orig_3,lb_cylr_orig_6,lb_cylr_orig_12
1993-04-07,1.3784438253030868,1.665895454977524,1.7889730590877153,1.7491762545311353,,,,,1.4539682956839466,1.87009645477512,2.094219514553539,2.0805562803617685,,,,
1993-04-08,1.2083437952375937,1.5810726917300848,1.7308873133954468,1.7590222386913075,,,,,1.2726212056403161,1.7670287828383338,2.003597188278655,2.056638299806231,,,,
1993-04-12,1.1178613956616965,1.4639483796758452,1.6629063057443199,1.6881016379581357,,,,,1.182807327724901,1.6626829103947878,1.9705997696546809,2.028440805660668,,,,
1993-04-13,1.0946175964427889,1.42584244886211,1.57749089330671,1.6931979992781752,,,,,1.1551158786689066,1.620387186938391,1.8802861382859744,2.030841199207568,,,,
1993-04-14,1.0356322665918192,1.4258858924961826,1.6444530424980397,1.6904590573820995,,,,,1.0867223138684319,1.607289742367188,1.921905372956123,2.0064863854987793,,,,
1993-04-15,0.9766625386161913,1.4080946243304069,1.6531409564627682,1.6987779867498654,,,,,1.025935951067999,1.5893449018112564,1.9385543774831575,2.022587871087972,,,,
1993-04-16,0.9552356618201817,1.3949307769445423,1.6131784850562043,1.6614812436779178,,,,,0.9976672990181192,1.574460520872784,1.8897423329066927,1.97991350353077,,,,
1993-04-19,1.134930831593248,1.4997796480924452,1.668353089914363,1.67922241695055,,,,,1.1958148039195469,1.6744806874502773,1.9432788841316349,1.9885735683788126,,,,
1993-04-20,1.1127115644168728,1.5062945419561793,1.6989721968940754,1.691995978013408,,,,,1.1662397398350774,1.6811314808859275,1.9840036937100707,1.991144182898848,,,,
1993-04-21,1.046183167521882,1.5251263863887785,1.689084577399433,1.6955479662073316,,,,,1.0909539649391464,1.690525455408556,1.9461911710770952,1.9900072002481215,,,,
1993-04-22,1.2271838839609381,1.5387617633290824,1.7569633157843965,1.7375758044939293,,,,,1.2837281599899935,1.690439782463635,2.006989211555883,1.999526287015548,,,,
1993-04-23,1.4335792509575074,1.7901019066331476,1.8606153320961785,1.8257620088012276,,,,,1.5021210923054367,1.988704917539667,2.1540994069594097,2.12677916061826,,,,
1993-04-26,1.7626758430075518,2.0173542473690516,1.9808793260806774,1.9072054114349046,,,,,1.8708929497566738,2.232660267649208,2.260747073555278,2.1928991212593925,,,,
1993-04-27,1.3998346581887036,1.8545417895135148,1.921235251044406,1.8149510804620885,,,,,1.4950405917804948,2.088790752785784,2.239849717614285,2.1684509743656784,,,,
1993-04-28,1.2528567453174422,1.7156441959275952,1.8674433452499604,1.8512246149737552,,,,,1.33437128926957,1.9266177767584787,2.160696657029013,2.1776119330913395,,,,
1993-04-29,1.154487504910858,1.6520044996484569,1.7812002925312966,1.7674145408796371,,,,,1.2271264082923528,1.8486354874266795,2.0789867843415593,2.08220709814101,,,,
1993-04-30,1.1657211816346458,1.562388700757962,1.759682921461128,1.7382718080634751,,,,,1.2483815865281709,1.7440457114227064,2.04132120035811,2.0368882131378925,,,,
1993-05-03,1.206401322543536,1.5941809176057946,1.755519489473097,1.7616370602741966,,,,,1.2902997819295128,1.7910597818418452,2.056800802066387,2.0978652061670675,,,,
1993-05-04,1.1489550974591836,1.4626950829700494,1.6897865507085181,1.7434235915876142,,,,,1.2212073030565205,1.6362435045326154,1.9765948938772828,2.0686185556338765,,,,
1993-05-05,1.192426214733016,1.5194450574308491,1.6833804550799933,1.7177096201250857,,,,,1.2656652384566838,1.7105249522596782,1.963563565074422,2.026722292245546,,,,
1993-05-06,1.3273145345828563,1.6092620330744645,1.7268253144618244,1.7220431722304874,,,,,1.4095572859704029,1.8043618849650673,2.00349244556524,2.0161340363543516,,,,
1993-05-07,1.2603809070361074,1.62763262487969,1.7573320605315708,1.7742861637020244,,,,,1.349287443701455,1.823982420182935,2.0330300289660608,2.0779022062296084,,,,
1993-05-10,1.395548984203224,1.6268599742391796,1.749523402887802,1.7421908658076337,,,,,1.4901191600255257,1.827263487451589,2.0315979123033268,2.0394929696303388,,,,
1993-05-11,1.3381420840778775,1.6160785117212924,1.7319628987185616,1.7423323960084374,,,,,1.4278983977590567,1.8433896675419983,2.0357129174729547,2.0685396271101575,,,,
1993-05-12,1.3845111282505338,1.6236569133696126,1.7167483093432758,1.7234155679573946,,,,,1.5002424413537663,1.853073219223043,2.0175907575216234,2.04203704053689,,,,
1993-05-13,1.5563074959946879,1.7356046934312923,1.8096625717468815,1.7964597266870113,,,,,1.6698636713548987,1.9415343281292998,2.0742103416818387,2.0885594858842556,,,,
1993-05-14,1.4516659002053482,1.7414339277524775,1.8402915876836075,1.7986639316707247,,,,,1.572602491814263,1.9690550698777078,2.1460311296398302,2.1092437081880195,,,,
1993-05-17,1.46682204230183,1.7736766864468643,1.8573698568310975,1.8147486569547506,,,,,1.5868465861816121,2.020830602006339,2.1704578071619762,2.1364077756125974,,,,
