permno,secid,sp_beg,sp_end,lnk_beg,lnk_end
91883.0,129054.0,2009-03-30,2016-05-17,2007-03-01,2016-05-17
91926.0,129410.0,2013-09-11,2020-12-31,2007-05-03,2030-12-31
91937.0,121764.0,2009-06-30,2013-04-30,2007-04-19,2030-12-31
91937.0,121764.0,2019-07-15,2020-12-31,2007-04-19,2030-12-31
92121.0,129716.0,2007-07-02,2020-12-31,2007-07-02,2030-12-31
92156.0,129709.0,2007-07-02,2009-06-04,2007-07-02,2015-01-26
92156.0,129709.0,2011-03-01,2015-01-26,2007-07-02,2015-01-26
92157.0,129711.0,2007-07-02,2009-06-25,2007-07-02,2030-12-31
92157.0,129711.0,2011-10-17,2020-12-31,2007-07-02,2030-12-31
92239.0,133962.0,2016-02-22,2020-12-31,2007-08-03,2030-12-31
92293.0,134207.0,2007-10-01,2017-06-16,2007-10-01,2030-12-31
92322.0,134685.0,2016-04-18,2020-12-31,2007-10-25,2030-12-31
92402.0,134814.0,2018-04-04,2020-12-31,2007-11-15,2030-12-31
92602.0,135403.0,2008-03-31,2020-12-31,2008-03-31,2030-12-31
92611.0,135419.0,2009-12-21,2020-12-31,2008-03-19,2030-12-31
92614.0,136200.0,2016-03-04,2020-12-31,2008-04-23,2030-12-31
92618.0,136216.0,2008-10-07,2018-06-29,2008-05-07,2018-07-09
92655.0,111469.0,1994-07-01,2020-12-31,1996-01-01,2030-12-31
92709.0,137155.0,2008-07-01,2018-03-06,2008-07-01,2018-03-06
92772.0,137521.0,2016-05-13,2016-05-13,2008-08-21,2018-08-31
92778.0,137684.0,2014-08-07,2020-12-31,2008-09-18,2030-12-31
92890.0,138637.0,2009-12-21,2017-06-16,2009-02-11,2017-06-14
92988.0,139386.0,2009-09-01,2015-03-17,2009-09-01,2015-03-16
93002.0,139322.0,2014-05-08,2020-12-31,2009-08-06,2018-04-04
93089.0,139590.0,2015-10-08,2020-12-31,2009-10-07,2030-12-31
93096.0,139733.0,2012-12-03,2020-12-31,2009-11-13,2030-12-31
93132.0,139805.0,2018-10-11,2020-12-31,2009-11-18,2030-12-31
93159.0,104056.0,2012-07-31,2016-03-29,2009-12-23,2019-04-10
93422.0,143086.0,2010-07-01,2015-06-30,2010-07-01,2030-12-31
93429.0,143077.0,2017-03-01,2020-12-31,2010-06-15,2030-12-31
93436.0,143439.0,2020-12-21,2020-12-31,2010-06-29,2030-12-31
21020.0,100917.0,1944-06-07,2003-03-13,1996-01-02,2013-12-08
21020.0,189845.0,2015-03-23,2020-12-31,2013-12-09,2030-12-31
21186.0,112006.0,1957-03-01,2020-12-31,1996-01-02,2002-01-29
21186.0,113859.0,1957-03-01,2020-12-31,2002-01-30,2015-07-01
21186.0,207500.0,1957-03-01,2020-12-31,2015-07-02,2030-12-31
25267.0,109724.0,1957-03-01,2002-07-19,1997-06-30,2005-11-18
48506.0,103981.0,1979-12-27,2020-12-31,1996-01-01,2000-10-01
48506.0,107686.0,1979-12-27,2020-12-31,2000-10-03,2030-12-31
49656.0,101981.0,1995-03-31,2020-12-31,1996-01-02,2007-07-01
49656.0,107407.0,1995-03-31,2020-12-31,2007-07-02,2030-12-31
51596.0,106695.0,2000-12-12,2007-05-30,1999-10-08,2007-05-30
76226.0,111691.0,1994-09-30,2020-12-31,1996-01-02,2006-01-02
76226.0,125232.0,1994-09-30,2020-12-31,2006-01-03,2030-12-31
79764.0,110271.0,1993-10-12,1998-05-20,1996-01-02,1998-03-22
79764.0,113735.0,1993-10-12,1998-05-20,1998-03-23,1998-05-20
87029.0,103349.0,1999-08-09,2002-08-30,1999-08-16,2001-10-07
87029.0,113069.0,1999-08-09,2002-08-30,2001-10-08,2002-08-30
38914.0,102892.0,1969-05-22,2001-03-30,1996-01-01,2001-04-01
42083.0,101197.0,1971-03-04,2006-11-16,1996-01-01,2006-11-16
66157.0,104866.0,1995-10-23,2020-12-31,2001-02-27,2030-12-31
